Name,RewardRate,Category,Amex,MasterCard,Visa,Description
Readly,1.0000000000,Other,inactive,inactive,inactive,"Earn 149 Bonus Points pr. month when you sign up and register your EuroBonus number on the link below.<br><br>You can sign up here: https://se.readly.com/eurobonus.<br><br>Readly is the new way of reading magazines on tablets and smartphones. Remember to sign up for Readly using your EuroBonus membership number, and earn points on your monthly subscription to Readly.

To earn EuroBonus Bonus points, simply type in your 9-digit SAS EuroBonus Membership number upon check-out before you pay."
FACE Stockholm,1.0000000000,Clothes/Fashion,inactive,active,active,"FACE Stockholm is the only Swedish cosmetics company offering makeup and skincare that is faithful to the Swedish ideal of beauty - natural, trendy, simple, clean, beautiful and fun. FACE Stockholm offers a spectacular and unrivaled range of colors and uses only the highest quality ingredients.<br/>Their values are reflected in every detail of Face Stockholm: from the clean, welcoming stores, excellent service and quality products, to the promotion of education and professional makeup artistry.<br/><br/>Please be aware that SAS EuroBonus Bonus Points earned at this store will be assigned to your account 21 days after the purchase."
Hugo & Celine,1.0000000000,Other,inactive,inactive,inactive,Hugo & Celine dog ice cream was premiered in 2015 at restaurants and cafes in the Stockholm area. In 2016 we had already covered 96% of Sweden with home-deliveries and more than 40.000 happy yappy doggy-customers. In 2017 we’re opening up export and have launched a set of new products.<br/><br/>Remember to register your 9-digit EuroBonus numbership number before payment when you shop online at Hugo & Celine. You cannot retro-register points at online purchases made at Hugo & Celine.
En Juicebar & Café,1.0000000000,Restaurant/Bar/Café,active,active,inactive,"Earn 100 Bonus Points pr. 100 SEK when paying with a linked Visa, Mastercard or Amex card.<br/><br/>Welcome to En Juicebar & Café!<br/><br/>Regardless of whether you fancy a juice, lunch or a lovely brunch buffet with some matching mimosas at the weekend, we have something for you!<br/><br/>Visit us in our fine premises or sit outside on our cozy outdoor terrace in the summer for a great experience."
Usine Bistro 38,1.0000000000,Restaurant/Bar/Café,active,active,active,"Usine is a new trendy venue option in Södermalm. We have multiple restaurants in various branches and we offer everything from café, bar, dining room, galleries and conference center. We also offer takeaway options as our main focus is to deliver on every wish that our clients have.<br/><br/>With our selection of different venues for every need we can meet all types of request, big and small and we always have quality in focus, which defines our food, drinks, locations, staff etc.<br/><br/>Usine is becoming an important part of ""Fatbursområdet"", which is quickly becoming the exciting and trending new part of Södermalm."
Drumbar,1.0000000000,Restaurant/Bar/Café,active,active,active,"Drumbar is Malmö's first and only Scottish pub. Here, in one of the city's oldest buildings with roots from the 1500’s, you will feel right at home and welcomed by a warm and cozy atmosphere as soon as you come through the door. At Drumbar you will find the staff eager to serve you in our rustic restaurant with well-cooked food made from the best ingredients, prepared by our Scottish chef Graeme Brown. Graeme has worked at, among other places, Gleneagles in Scotland. On the menu are Scottish specialties such as Haggis, neeps and tatties, as well as a varied menu inspired by both the Swedish and Scottish cuisine. Drumbar also offers a varied selection of beers and an extensive collection of whisky. If you have a hard time selecting only one whisky to try we offer you a whisky tasting menu."
Moosehead Bar,1.0000000000,Restaurant/Bar/Café,active,active,active,We look forward to serve you at Moosehead!
Texas Longhorn HAMMARBY SJÖSTAD,1.0000000000,Restaurant/Bar/Café,active,active,active,We aim to give our guests a great experience with lots of delicious food in a homely atmosphere. Our food is inspired by the Texan kitchen with a primary focus on barbequed meat. And when you get to the desert you can experience American classics such as apple pie. We also offer alternatives for those who prefer fish or vegetarian dishes.
Spill Saluhall & Eatery,1.0000000000,Restaurant/Bar/Café,active,active,active,"Eat. Sleep. Socialize. Welcome to SPiS!<br/><br/>At SPiS we want you to experience the warmth of genuine hospitality. We want you to feel at home like were you amongst friends. Everyone are welcome at SPiS.<br/>We believe in meals prepared from the best ingredients which are in season at the moment. And we cooperate with local suppliers to get the best locally produced ingredients. With guests from around the world at both our hotel and restaurants we aim to create international dishes influenced by very different regions such as Asia, the Mediterranean and of course Sweden. We love food and good beverages and we want to deliver high quality products no matter the time of day which you chose to visit us."
Sollidens Matsal,1.0000000000,Restaurant/Bar/Café,inactive,active,active,"Solliden is a classic Stockholm restaurant with beautiful interiors and stunning views over Stockholm. Classic is also the great sandwich cake served during June through August.<br/><br/>In 1952, the building was completed and inaugurated by the King the day before the Walpurgis Night. It is celebrated every year traditionally with the sandwich cake, which is also served at Christmas, Midsummer buffet and the New Year Dinner. With beautiful Nordic décor, views of Stockholm and the Swedish culinary experience, you won’t get an evening more Swedish than this!"
FACE Stockholm,1.0000000000,Clothes/Fashion,inactive,active,active,"FACE Stockholm is the only Swedish cosmetics company offering makeup and skincare that is faithful to the Swedish ideal of beauty - natural, trendy, simple, clean, beautiful and fun. FACE Stockholm offers a spectacular and unrivaled range of colors and uses only the highest quality ingredients.<br/>Their values are reflected in every detail of Face Stockholm: from the clean, welcoming stores, excellent service and quality products, to the promotion of education and professional makeup artistry.<br/><br/>Please be aware that SAS EuroBonus Bonus Points earned at this store will be assigned to your account 21 days after the purchase."
FACE Stockholm,1.0000000000,Clothes/Fashion,active,active,active,"FACE Stockholm is the only Swedish cosmetics company offering makeup and skincare that is faithful to the Swedish ideal of beauty - natural, trendy, simple, clean, beautiful and fun. FACE Stockholm offers a spectacular and unrivaled range of colors and uses only the highest quality ingredients.<br/>Their values are reflected in every detail of Face Stockholm: from the clean, welcoming stores, excellent service and quality products, to the promotion of education and professional makeup artistry.<br/><br/>Please be aware that SAS EuroBonus Bonus Points earned at this store will be assigned to your account 21 days after the purchase."
Sand Instore Stockholm Dam,1.0000000000,Clothes/Fashion,active,active,active,"The design of the Danish Fashion house SAND is driven by passion, creativity and innovation. Cool Scandinavian silhouettes combined with southern European charm to maintain its provocative, sophisticated focus - SAND creates clothes for the way world citizens think, work and live. The overall philosophy behind the collection of SAND - whether it be for Men or Women - is a fine balance between the neo-classic and sophisticated up against the twisted and the quirky.<br/>The passion for Italian fabrics, tailored details and perfect cuts in every item of the collections and a deep dedication to art, manifesting in the almost sculptural silhouettes in the design, enables the SAND customer's own individual experience of touching and wearing SAND products, and discovering their value.<br/>We look forward to welcoming you to one of our own Concept Stores.<br/><br/>Assigning of SAS EuroBonus Bonus Points at SAND can´t be combined with any other organized discount or bonus programs. SAS EuroBonus Bonus Points will not be granted to individually negotiated deals and prices.<br/><br/>Please be aware that SAS EuroBonus Bonus Points earned at this store will be assigned to your account 21 days after the purchase."
Sand Instore Stockholm Herr,1.0000000000,Clothes/Fashion,active,active,active,"The design of the Danish Fashion house SAND is driven by passion, creativity and innovation. Cool Scandinavian silhouettes combined with southern European charm to maintain its provocative, sophisticated focus - SAND creates clothes for the way world citizens think, work and live. The overall philosophy behind the collection of SAND - whether it be for Men or Women - is a fine balance between the neo-classic and sophisticated up against the twisted and the quirky.<br/>The passion for Italian fabrics, tailored details and perfect cuts in every item of the collections and a deep dedication to art, manifesting in the almost sculptural silhouettes in the design, enables the SAND customer's own individual experience of touching and wearing SAND products, and discovering their value.<br/>We look forward to welcoming you to one of our own Concept Stores.<br/><br/>Assigning of SAS EuroBonus Bonus Points at SAND can´t be combined with any other organized discount or bonus programs. SAS EuroBonus Bonus Points will not be granted to individually negotiated deals and prices.<br/><br/>Please be aware that SAS EuroBonus Bonus Points earned at this store will be assigned to your account 21 days after the purchase."
by Benson,1.0000000000,Home/Interiors,inactive,active,inactive,"by Benson sells products for home and garden. Swedish design. Durable materials that can be used for a long time and age beautifully. A combination of design, function and quality. Sustainability and care for the environment. Some of the products have been created with passion, knowledge and experience since 1973. We are proud to say that we have the market's best and probably most sold Christmas tree stand. Very stable and adapted for all Christmas trees, including Nordmannia trees (except Stand Mini). The stand hold an enormous amount of water. And it is easy to get the tree stable and at the right angle. In addition, we now also have some of the market's best but also most attractive garden products. The recently launched garden collection from by Benson is something we are extremely proud of. And the hoses are nominated to the Garden product of the year 2022."
H.W. Larsen,1.0000000000,Home/Interiors,inactive,active,active,"H.W.Larsen A/S is a large kitchen supplier for private and businesses in Denmark and in the business of Gourmet, Cooking and Professional cookware.For more than 85 years, the company has consistently delivered kitchen utensils to hotels, restaurants, butchers, chefs, fishmongers and anyone with a love for good food. H.W.Larsen has continued to grow, and in 2007 larger storage facilities were established in Copenhagen’s suburbs to meet the increased requirements. Some years after, a second H.W.Larsen store was established right next to the main storage facility. For many years H.W.Larsen was the supplier of established brands in the kitchen industry, but a few years back, the company started to develop their own brands. SENJEN, which consists of different knives and Larsens Bedste, which involves mixed cookware with everything from pots and pans to porcelain."
Lildog,1.0000000000,Sport/Leisure,inactive,inactive,inactive,"Earn 100 points pr. 100 kr. spent when paying with a linked payment card.<br><br>Lildog keeps your dog safe, happy, and free to explore.<br><br>Lildog is a Norwegian-made GPS tracker and activity monitor for dogs which can be attached to any collar or harness. In addition to showing the dog's current and past locations, Lildog displays the dog's activity level with a step counter. Lildog has a built-in light and can remotely emit sound, allowing you recall your dog when it hears the sound."
Players Indoor Golf,1.0000000000,Sport/Leisure,inactive,inactive,inactive,"You earn a fixed amount of EuroBonus Bonus Points by purchasing a voucher that can be used as payment when you make a reservation. The amount of points you earn will at least be 100 points per 100 SEK per voucher connected to EuroBonus. Which vouchers are available for purchase and what amount of EuroBonus Bonus Points you will earn per voucher is presented on the web page.<br><br>Welcome to a top-notch indoor golf experience 5 minutes south of Stockholm. The atmosphere is relaxed and friendly. We have 7 private booths with Trackman you can reserve to practice or play golf on any of the more than 250 courses available.<br><br>It is also possible to reserve a time for golf instructions from PGA Professional, participate in our competitions or arrange your own event!<br><br>We offer cold drinks, coffee, and snacks in our lounge for you to enjoy while you wait for your time, or while you play.<br><br>Earned points will be transferred to your EuroBonus account between 3 and 10 days after the purchase."
Golfamore Sverige,1.0000000000,Sport/Leisure,inactive,active,inactive,"""En story om mycket golf!<br><br>Vi vill att alla ska få möjlighet att spela mer golf och få många nya golfupplevelser! Därför startade vi Golfamore 2005, under ett år när golfen hade det ganska så motigt och golfklubbarna behövde nå ut till och attrahera nya golfare. Golfarna i sin tur hade precis upptäckt spännande resesajter som öppnade en helt ny, prisvärd och lättillgänglig värld av upplevelser – och efterfrågade samma typ av förmånsdeals även för golf. Sedan dess har vi vuxit snabbt med både antal användare, antal medverkande golfklubbar och länder.<br><br>Vårt erbjudande förbättras kontinuerligt då vi alltid vill erbjuda golfarna det allra bästa för en maxad golfupplevelse. Vi är stolta över att idag vara Europas ledande förmånskort för golfare!"""
The Viking Museum,1.0000000000,Event,inactive,active,active,"Experience the Viking age.<br/><br/>In the vivid exhibition you will meet the Vikings through movies, scenery, projections and sound effects as well as archaeological objects. Knowledgeable guides in Viking gear will answer all your questions and the many replicas let you explore life as a Viking with all your senses.  You will learn about the Viking raids, journeys and mastery in ship building as well as the everyday life at the farm. The Norse mythology is present everywhere and here myth meets truth."
Din Klinik,1.0000000000,Health/Wellness,active,active,active,"IMPORTANT NOTE:  We offer EuroBonus points for members with Silver, Gold, Diamond or Pandion cards<br/><br/>City Vaccine offers all kinds of vaccines. From children’s vaccinations to the vaccination of adults and travel vaccinations. Our nurses and doctors are specialized in travel medicine and vaccinations. We are constantly updated in our field and keeps us abreast of what is happening in different countries in terms of vaccination, disease and epidemics.<br/><br/>Please be aware that SAS EuroBonus Bonus Points earned at this store will be assigned to your account 21 days after the purchase."
Läkargruppen,1.0000000000,Health/Wellness,inactive,active,active,"City Vaccine offers all kinds of vaccines. From children’s vaccinations to the vaccination of adults and travel vaccinations. Our nurses and doctors have specialized in travel medicine and vaccinations. We are constantly updated in our field and keeps us abreast of what is happening in different countries in terms of vaccination, disease and epidemics.<br/><br/>Please be aware that SAS EuroBonus Bonus Points earned at this store will be assigned to your account 21 days after the purchase."
Hoom Park & Hotel AB,1.0000000000,Hotel/Cruise,active,active,inactive,"We want to give you a little bit more than other hotels. In all stays, we include an evening meal, breakfast and free WIFI. Every day we serve an evening meal including sallads. Järva Park Hotel offers you a variety of rooms and prices. Maybe you are looking for a big and bright room or a complete dark room for the perfect sleep."
Bowl-o-Rama,0.7500000000,Sport/Leisure,active,active,inactive,"Welcome to the biggest bowling alley in Stockholm. We have 29 lanes with optional bumpers for our smallest players. In our restaurant you can enjoy a light meal, snacks and drinks in our restaurant."
Cafe Saturnus,0.6000000000,Restaurant/Bar/Café,active,active,active,At Café Saturnus you will find a combination of eatery and bakery.  We take great pride in our craftsmanship and focus on using only the best ingredients! We provide corporate as well as private catering services. Larger groups are also welcome to rent the whole restaurant. Let us know about your particular needs or preferences and we'll give you a proposal.
Rituals Lund City,0.5000000000,Clothes/Fashion,active,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Lundbergs Handskar & Väskor,0.5000000000,Clothes/Fashion,active,active,active,"Lundbergs started in Lund in 1928, back then as a glove factory with its own little shop on the corner of Västra Mårtensgatan and Stora Södergatan where we sold what we manufactured. The store still exists today at the same address. In 1980 we also started selling bags in our glove store. Over the years we have opened a few more stores around Skåne. Today we have eleven stores located in Helsingborg, Malmö, Kristianstad, Ystad, Trelleborg, Arlöv and of course Lund. Lundbergs is a family company named after the glove maker Otto Lundberg, and is owned and operated today by Otto's daughter and granddaughter."
Rituals Karlstad Mitt i City,0.5000000000,Clothes/Fashion,active,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Rituals Stockholm Mood,0.5000000000,Clothes/Fashion,active,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Nordby,0.5000000000,Clothes/Fashion,active,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Rituals Galleria Boulevard,0.5000000000,Clothes/Fashion,inactive,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Nordstan,0.5000000000,Clothes/Fashion,inactive,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Kupolen,0.5000000000,Clothes/Fashion,active,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Rituals Linden,0.5000000000,Clothes/Fashion,inactive,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Mall of Scandinavia,0.5000000000,Clothes/Fashion,active,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Birsta,0.5000000000,Clothes/Fashion,inactive,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Rituals IKANO Huset Linköping,0.5000000000,Clothes/Fashion,inactive,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Västerås Erikslund,0.5000000000,Clothes/Fashion,active,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Rituals Stockholm Sickla,0.5000000000,Clothes/Fashion,active,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals IKANO Umeå,0.5000000000,Clothes/Fashion,active,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Nyköping Västerport,0.5000000000,Clothes/Fashion,inactive,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Rituals Skellefteå Citykompaniet,0.5000000000,Clothes/Fashion,active,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Skrapan,0.5000000000,Clothes/Fashion,inactive,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Rituals Central Station,0.5000000000,Clothes/Fashion,active,active,active,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
